"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","button_pressed","success","key_press","responses","isData","view_history","response_type","avg_frame_time","center_x","center_y","isSC","stim_side","trial_luminance","step_size","nReversal","correct","prev_ans","isThreshold","SC_threshold","final_threshold","isLuminance","FF_luminance","luminance","stimSide","ISInt","isFF","question_order","isSPQ","isCAPS","isAQ"
"pavlovia","0","28","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","1","13126","0.0-1.0","13091.939999954775","<div style='background-color: white; width:60%; margin: auto; padding: 50px; text-align: justify; text-justify: inter-word; margin-bottom: 20px;'><h1 style='text-align: center;'>Consent Form</h1><p>Please read this consent form carefully before deciding whether you would like to participate in this study. You have to be 18 years old or older to participate to this study.</p><p style='text-decoration: underline;'>Participation is voluntary:</p><p>It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.</p><p style='text-decoration: underline;'>Purpose of the Study:</p><p>To understand the mechanisms underlying human perception.</p><p style='text-decoration: underline;'>What you will do in this study:</p><p>You will be presented with a series of visual images and then you will press buttons on the keyboard of your computer to respond to simple questions about the images (e.g. Were one or two images presented?). In addition, you will be asked to complete a questionnaire concerning your beliefs and everyday mental and perceptual experiences.'</p><p style='text-decoration: underline;'> Time Required:</p><p>The study will take 40 minutes to complete. </p><p style='text-decoration: underline;'>Risks:</p><p>There are no anticipated risks associated with participating in this study that are beyond those experienced in everyday life. </p><p style='text-decoration: underline;'>Benefits:</p><p>There are no benefits to you in participating in the study. However, this study may lead to a better understanding of how different kinds of visual information are used.</p><p style='text-decoration: underline;'>Compensation:</p><p>You will be paid US$6.6/hour. </p><p style='text-decoration: underline;'>Privacy and Confidentiality:</p><p>Your participation in this study will be anonymous. No personal information about your name or identity will be asked or recorded. This anonymous data will be stored for several years and may be used for a variety of research purposes. The overall results of the study may be published, or the data files may be shared with other researchers, but your identity will not be revealed in any way. The online services we are using for this study may temporarily store your data, but this data will be downloaded and then promptly deleted from those services.Your data will not be permanently associated with your name, IP address, or any other identifiable information (e.g., your information will only be connected to your payment, not to any of your responses), though they may be temporarily stored together before we download and separate them. Even so, no guarantee of internet survey security can be given because, although unlikely, transmissions can be intercepted and IP addresses can be identified. The anonymous data may be shared publicly (for example, in conjunction with a resulting academic publication).</p><p style='text-decoration: underline;'>Participation and Withdrawal:</p><p>Your participation in this study is completely voluntary. You may stop responding to the stimuli or stop answering questions if you so choose and without penalty by exiting the full screen mode, closing this tab of your browser or redirecting it to a different website.</p><p style='text-decoration: underline;'>Contact Info of the Researcher: </p><p>If you have questions about this study, or if you would like to talk to the research team, please contact David Melcher (david.melcher@nyu.edu, md5050@nyu.edu) at the Perception and Active Cognition Laboratory, New York University Abu Dhabi, Computational Research Building, Saadiyat Island, Abu Dhabi, UAE.This research has been reviewed by the New York University Abu Dhabi Institutional Review Board (NYUAD IRB). To contact about your rights in this research, for questions, suggestions, or complaints that are not addressed by the researchers, please email IRBnyuad@nyu.edu, or call the NYUAD IRB at +971 2 628 4313. </p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","17211","0.0-2.0","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","3","55092","0.0-3.0","37878.30500002019","<p>Welcome !</p><p>READ CAREFULLY THE FOLLOWING INDICATIONS:</p><p>From this moment you have ~40 minutes to complete the experiment.</p><p>During the experiment you will be prompted to take several breaks. Each break should not last longer than 2-3 minutes.</p><p>Make sure that your computer is plugged in and it's not running on battery power, even if the battery is already fully charged.</p><p>Turn off your phone and music, make sure that you are in a quiet room and that you will not be distracted for the next hour.</p><p>Failure to comply with the instructions and indications provided during the experiment will most likely result in the rejection of your data.<p>Press the spacebar to start.</p>","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-html-form","4","63271","0.0-4.0","8176.485000003595","","","","","{""age"":""20"",""sex"":""F""}","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","5","213098","0.0-5.0","149824.12499998463","","","","","","","[{""page_index"":0,""viewing_time"":124725.94999999274},{""page_index"":1,""viewing_time"":7268.06500001112},{""page_index"":2,""viewing_time"":17829.454999999143}]","","","","","","","","","","","","","","","","","","","","","","","",""
"psychophysics","6","214629","0.0-6.0-0.0","446.1649999720976","","","","37","","","","key","17.84167058823514","683","328.5","true","-1","180","30","0","-1","","","","","","","","","","","","","",""
"psychophysics","7","215835","0.0-6.0-0.1","201.69000001624227","","","","37","","","","key","16.665666666666866","683","328.5","true","-1","180","30","0","-1","-1","","","","","","","","","","","","",""
"psychophysics","8","216970","0.0-6.0-0.2","128.39999998686835","","","","37","","","","key","16.66514925373138","683","328.5","true","-1","150","30","0","-1","-1","","","","","","","","","","","","",""
"psychophysics","9","218080","0.0-6.0-0.3","99.30499998154119","","","","37","","","","key","16.665061538461863","683","328.5","true","-1","150","30","0","-1","-1","","","","","","","","","","","","",""
"psychophysics","10","220985","0.0-6.0-0.4","1900.7649999693967","","","","37","","","","key","16.76171676300579","683","328.5","true","-1","129","30","0","-1","-1","","","","","","","","","","","","",""
"psychophysics","11","222561","0.0-6.0-0.5","564.7100000060163","","","","37","","","","key","16.665311827957105","683","328.5","true","-1","129","30","0","-1","-1","","","","","","","","","","","","",""
"psychophysics","12","224602","0.0-6.0-0.6","1038.1399999605492","","","","39","","","","key","16.665196721311553","683","328.5","true","-1","129","24","1","1","-1","","","","","","","","","","","","",""
"psychophysics","13","226080","0.0-6.0-0.7","468.4850000194274","","","","39","","","","key","16.66510227272738","683","328.5","true","1","153","24","1","-1","1","","","","","","","","","","","","",""
"psychophysics","14","227435","0.0-6.0-0.8","351.1249999864958","","","","37","","","","key","16.665637499999868","683","328.5","true","-1","153","19.2","2","-1","-1","","","","","","","","","","","","",""
"psychophysics","15","228862","0.0-6.0-0.9","409.2749999836087","","","","39","","","","key","16.665023809523735","683","328.5","true","1","133.8","19.2","2","-1","-1","","","","","","","","","","","","",""
"psychophysics","16","230436","0.0-6.0-0.10","564.8849999997765","","","","39","","","","key","16.634892473118104","683","328.5","true","1","133.8","19.2","2","-1","-1","","","","","","","","","","","","",""
"psychophysics","17","232127","0.0-6.0-0.11","681.9999999715947","","","","39","","","","key","16.831659999999975","683","328.5","true","1","129","19.2","2","-1","-1","","","","","","","","","","","","",""
"psychophysics","18","234011","0.0-6.0-0.12","881.2200000393204","","","","39","","","","key","16.66578761061944","683","328.5","true","1","129","19.2","2","-1","-1","","","","","","","","","","","","",""
"psychophysics","19","235482","0.0-6.0-0.13","466.1049999995157","","","","37","","","","key","16.6651839080458","683","328.5","true","1","129","15.36","3","1","-1","","","","","","","","","","","","",""
"psychophysics","20","236927","0.0-6.0-0.14","441.74999999813735","","","","39","","","","key","16.665360465116507","683","328.5","true","1","144.36","15.36","3","-1","1","","","","","","","","","","","","",""
"psychophysics","21","238364","0.0-6.0-0.15","434.16499998420477","","","","39","","","","key","16.665440476190444","683","328.5","true","1","144.36","12.287999999999998","4","-1","-1","","","","","","","","","","","","",""
"psychophysics","22","240126","0.0-6.0-0.16","749.2099999799393","","","","37","","","","key","16.825682692307545","683","328.5","true","1","132.072","9.8304","5","1","-1","","","","","","","","","","","","",""
"psychophysics","23","241424","0.0-6.0-0.17","294.6850000298582","","","","39","","","","key","16.665142857142673","683","328.5","true","1","141.9024","9.8304","5","-1","1","","","","","","","","","","","","",""
"psychophysics","24","242923","0.0-6.0-0.18","493.3449999662116","","","","37","","","","key","16.66116853932565","683","328.5","true","-1","141.9024","7.864319999999999","6","-1","-1","","","","","","","","","","","","",""
